Hs,Hmax,Tz,Tp,Peak Direction,SST
1.03,1.59,4.551,5.796,116.07,-99.9
1.04,2.02,4.613,6.721,116.07,-99.9
1.011,1.89,4.347,6.351,115.07,-99.9
1.09,1.88,4.407,6.136,119.07,-99.9
1.07,1.68,4.499,6.788,112.07,-99.9
1.1,1.91,4.482,5.918,116.07,-99.9
1.094,2.09,4.383,5.964,105.07,-99.9
1.209,2.32,4.394,4.23,120.07,-99.9
1.304,2.27,4.401,5.657,112.07,-99.9
1.419,2.74,4.586,5.348,120.07,-99.9
1.48,2.52,4.569,5.766,115.07,-99.9
1.359,2.12,4.78,5.79,113.07,-99.9
1.433,2.64,4.628,5.806,109.07,-99.9
1.323,2.03,4.738,6.136,119.07,-99.9
1.466,2.44,5.113,6.333,120.07,-99.9
1.539,2.73,5.096,6.339,108.07,-99.9
1.428,2.41,4.875,5.971,110.07,-99.9
1.472,2.41,4.848,5.808,112.07,-99.9
1.58,2.34,4.868,6.778,106.07,-99.9
1.657,2.76,4.97,6.524,113.07,-99.9
1.581,2.62,4.939,6.588,116.07,-99.9
1.594,2.31,5.172,5.967,109.07,-99.9
1.591,3.11,5.033,7.097,101.07,-99.9
1.537,2.77,5.074,7.01,105.07,-99.9
1.558,2.63,5.003,6.592,110.07,-99.9
1.572,3.07,5.013,7.544,101.07,-99.9
1.59,2.92,5.221,6.865,105.07,-99.9
1.504,2.43,5.525,7.024,110.07,-99.9
1.457,2.67,5.169,6.795,106.07,-99.9
1.617,2.57,5.456,7.537,106.07,-99.9
1.56,2.47,5.231,7.572,105.07,-99.9
1.665,3.17,5.372,7.538,110.07,-99.9
1.517,2.59,5.413,8.157,106.07,-99.9
1.705,2.94,5.851,7.579,102.07,-99.9
1.682,2.62,5.478,7.082,110.07,-99.9
1.587,2.5,5.322,7.249,112.07,-99.9
1.764,3.2,5.398,7.551,113.07,-99.9
1.753,3.07,5.222,7.68,113.07,-99.9
1.824,2.77,5.619,8.461,110.07,-99.9
1.751,3.48,5.452,8.183,109.07,-99.9
1.809,3.15,5.677,7.616,119.07,-99.9
1.682,3.09,5.946,8.161,113.07,-99.9
1.799,2.53,5.683,7.861,103.07,-99.9
1.942,3.38,5.543,8.146,109.07,-99.9
1.793,3.27,5.705,8.489,106.07,-99.9
1.771,2.88,5.606,8.533,101.07,-99.9
1.995,2.92,6.354,8.824,109.07,-99.9
1.934,3.15,6.394,8.543,99.07,-99.9
1.986,3.08,6.622,8.702,113.07,-99.9
2.285,3.44,6.854,8.565,110.07,-99.9
2.109,3.77,6.234,8.519,106.07,-99.9
2.204,3.4,6.207,9.252,105.07,-99.9
2.365,4.29,6.298,9.123,103.07,-99.9
2.197,3.45,6.639,9.268,103.07,-99.9
2.276,4.25,6.528,8.97,106.07,-99.9
2.25,4.18,6.664,9.256,101.07,-99.9
2.251,3.55,6.62,8.536,98.07,-99.9
2.087,3.45,6.465,9.259,99.07,-99.9
2.023,3.18,6.341,9.2,102.07,-99.9
2.092,3.59,6.307,8.919,98.07,-99.9
2.313,3.78,6.225,9.299,98.07,-99.9
2.337,4,6.109,9.284,98.07,-99.9
2.148,3.38,6.405,9.28,99.07,-99.9
1.937,4.3,6.133,8.981,99.07,-99.9
2.041,4.13,6.593,9.317,99.07,-99.9
1.96,2.87,6.363,9.359,96.07,-99.9
1.945,3.62,6.172,9.6,101.07,-99.9
1.961,2.71,6.439,8.467,101.07,-99.9
1.955,4.21,6.665,9.706,103.07,-99.9
1.876,3.05,6.412,8.492,102.07,-99.9
1.79,3.08,6.573,9.285,99.07,-99.9
1.748,2.78,6.824,9.27,102.07,-99.9
1.679,2.95,6.888,9.271,99.07,-99.9
1.586,2.63,6.698,8.944,98.07,-99.9
1.769,2.66,6.836,9.215,95.07,-99.9
1.74,2.46,6.817,8.518,95.07,-99.9
1.776,2.88,7.05,9.336,95.07,-99.9
1.745,2.78,6.964,8.549,96.07,-99.9
1.616,2.41,6.653,9.257,94.07,-99.9
1.569,2.47,6.915,8.894,95.07,-99.9
1.691,2.65,6.69,9.276,91.07,-99.9
1.531,2.5,6.424,9.301,92.07,-99.9
1.721,2.83,7.046,8.875,88.07,-99.9
1.699,2.99,7.157,8.918,91.07,-99.9
1.691,2.54,6.938,8.966,92.07,-99.9
1.648,2.88,6.9,8.496,95.07,-99.9
1.599,2.54,6.999,8.867,96.07,-99.9
1.749,2.92,6.923,9.257,88.07,-99.9
1.651,2.78,7.104,9.273,89.07,-99.9
1.671,2.56,7.156,8.204,91.07,-99.9
1.847,3.57,7.159,8.616,92.07,-99.9
1.756,2.5,7.426,8.54,91.07,-99.9
1.452,2.19,6.957,9.559,91.07,-99.9
1.521,2.16,7.067,9.343,95.07,-99.9
1.656,2.8,6.862,8.607,88.07,-99.9
1.646,2.39,7.018,8.476,89.07,-99.9
1.895,2.86,7.238,8.939,94.07,-99.9
1.866,3.31,7.03,9.279,88.07,-99.9
1.889,2.97,7.103,8.602,92.07,-99.9
1.925,3.01,7.213,9.264,91.07,-99.9
1.734,2.64,6.762,8.884,91.07,-99.9
2.008,3.52,7.171,9.026,91.07,-99.9
2.007,3.14,6.69,9.249,89.07,-99.9
2.216,3.14,7.482,9.076,88.07,-99.9
1.956,3.32,6.67,9.299,92.07,-99.9
1.954,3.76,6.744,8.841,89.07,-99.9
2.042,3.88,6.789,9.659,85.07,-99.9
2.038,3.35,6.642,9.264,89.07,-99.9
1.982,3.15,6.781,9.609,88.07,-99.9
2.061,3.52,6.999,9.71,92.07,-99.9
2.002,3.09,7.029,9.387,92.07,-99.9
1.868,2.84,6.811,9.264,86.07,-99.9
2.029,3.15,6.91,9.127,95.07,-99.9
1.925,2.74,7.344,9.049,91.07,-99.9
1.852,3.37,7.404,9.307,88.07,-99.9
2.02,3.08,7.132,9.23,88.07,-99.9
1.879,2.89,7.42,9.287,89.07,-99.9
1.815,2.77,7.406,8.565,86.07,-99.9
1.862,3,7.27,9.792,95.07,-99.9
1.813,3.08,7.759,9.733,89.07,-99.9
1.813,3.12,7.593,9.337,85.07,-99.9
1.938,3.4,7.891,9.684,84.07,-99.9
1.8,2.82,7.381,9.629,85.07,-99.9
1.967,2.96,7.752,14.072,86.07,-99.9
1.675,2.62,6.835,14.657,88.07,-99.9
1.841,3.6,6.821,9.293,92.07,-99.9
1.692,2.54,6.356,9.367,85.07,-99.9
1.904,2.96,6.957,8.982,85.07,-99.9
1.78,2.75,6.886,9.024,82.07,-99.9
1.747,2.66,6.975,9.676,84.07,-99.9
1.867,3.72,6.923,13.878,89.07,-99.9
1.722,3.49,6.675,9.34,94.07,-99.9
1.743,2.68,6.939,8.88,88.07,-99.9
1.652,3.32,7.237,9.31,79.07,-99.9
1.539,2.86,6.998,13.064,86.07,-99.9
1.549,2.42,7.559,9.399,91.07,-99.9
1.528,2.45,7.033,9.683,95.07,-99.9
1.559,2.17,7.438,9.284,92.07,-99.9
1.572,2.51,7.454,13.882,89.07,-99.9
1.554,2.35,6.475,13.838,88.07,-99.9
1.615,2.57,7.123,9.271,94.07,-99.9
1.607,2.36,7.145,8.529,96.07,-99.9
1.69,2.8,6.92,9.27,81.07,-99.9
1.495,2.54,6.169,8.99,88.07,-99.9
1.445,2.45,6.239,9.732,99.07,-99.9
1.561,2.88,6.283,13.429,96.07,-99.9
1.462,2.5,5.98,9.532,98.07,-99.9
1.531,2.59,6.769,13.755,91.07,-99.9
1.493,2.36,6.517,8.619,98.07,-99.9
1.508,2.42,6.854,9.312,92.07,-99.9
1.465,2.36,6.209,8.916,85.07,-99.9
1.449,2.81,6.257,9.712,86.07,-99.9
1.526,3.11,6.431,9.403,85.07,-99.9
1.689,2.92,6.797,8.925,94.07,-99.9
1.525,2.37,6.263,8.91,94.07,-99.9
1.468,2.58,6.346,13.748,91.07,-99.9
1.445,2.14,6.384,13.441,94.07,-99.9
1.425,2.48,6.093,8.62,94.07,-99.9
1.452,2.39,6.594,13.754,88.07,-99.9
1.471,2.42,6.725,9.258,91.07,-99.9
1.502,2.4,6.468,8.52,99.07,-99.9
1.481,2.55,6.597,8.903,81.07,-99.9
1.568,2.25,7.238,9.156,98.07,-99.9
1.454,2.47,6.177,13.204,88.07,-99.9
1.395,2.13,6.352,13.799,101.07,-99.9
1.511,2.08,7.122,13.058,88.07,-99.9
1.325,2.11,6.561,9.708,103.07,-99.9
1.292,2.45,6.398,13.726,101.07,-99.9
1.294,2.08,6.684,8.556,95.07,-99.9
1.349,2.4,6.534,12.937,101.07,-99.9
1.22,1.94,6.898,12.915,103.07,-99.9
1.197,1.96,6.629,9.427,106.07,-99.9
1.232,1.87,7.117,12.085,102.07,-99.9
1.235,2.25,6.894,13.628,103.07,-99.9
1.25,2.02,6.665,8.894,106.07,-99.9
1.242,1.82,7.288,12.773,96.07,-99.9
1.222,1.97,6.822,13.75,102.07,-99.9
1.29,1.94,6.925,13.619,96.07,-99.9
1.294,2.16,6.974,9.269,103.07,-99.9
1.17,1.87,6.588,8.558,98.07,-99.9
1.214,1.82,6.483,9.256,96.07,-99.9
1.306,2.25,7.028,8.896,86.07,-99.9
1.205,2.04,6.46,8.83,99.07,-99.9
1.248,1.89,6.889,9.694,89.07,-99.9
1.301,2.6,6.853,9.212,101.07,-99.9
1.094,1.88,6.741,12.852,89.07,-99.9
1.139,2.13,6.42,12.788,98.07,-99.9
1.219,2.15,6.802,12.865,105.07,-99.9
1.135,1.9,6.749,12.818,95.07,-99.9
1.182,1.71,7.041,9.216,95.07,-99.9
1.101,1.71,6.677,9.335,85.07,-99.9
1.158,1.73,6.764,8.898,99.07,-99.9
1.155,1.97,6.693,8.151,86.07,-99.9
1.126,2.18,6.775,9.168,96.07,-99.9
1.148,1.8,6.679,8.9,98.07,-99.9
1.182,1.69,7.155,9.242,92.07,-99.9
1.238,2.19,7.04,8.857,88.07,-99.9
1.133,1.87,7.215,8.888,88.07,-99.9
1.123,1.78,6.979,8.862,92.07,-99.9
1.18,2.1,6.733,12.814,89.07,-99.9
1.146,1.76,7.173,8.813,94.07,-99.9
1.071,1.68,6.789,8.902,86.07,-99.9
1.121,2.07,7.04,8.496,85.07,-99.9
1.15,1.74,7.337,9.295,94.07,-99.9
1.181,1.86,6.855,8.604,86.07,-99.9
1.169,1.83,7.06,8.901,85.07,-99.9
1.177,2.07,7.38,9.271,85.07,-99.9
1.11,1.73,7.311,8.845,85.07,-99.9
1.101,1.96,6.847,9.202,96.07,-99.9
1.082,1.89,6.747,9.261,89.07,-99.9
1.154,1.8,6.863,9.004,88.07,-99.9
1.071,1.63,6.628,9.279,86.07,-99.9
1.058,1.81,6.522,9.012,86.07,-99.9
1.106,1.84,6.673,8.841,86.07,-99.9
1.076,1.93,6.063,7.868,101.07,-99.9
1.081,1.71,6.709,12.562,92.07,-99.9
1.1,1.73,6.887,8.777,98.07,-99.9
1.066,1.7,6.304,8.511,94.07,-99.9
1.056,1.76,6.111,8.963,99.07,-99.9
1.027,2.11,5.608,8.603,91.07,-99.9
1.105,1.73,5.491,9.224,99.07,-99.9
1.04,1.68,5.137,8.818,91.07,-99.9
1.092,1.89,5.27,7.872,99.07,-99.9
1.084,1.67,5.414,9.098,88.07,-99.9
1.038,2.03,5.47,8.561,89.07,-99.9
1.039,1.53,5.41,8.823,103.07,-99.9
1.024,1.8,5.465,8.808,91.07,-99.9
0.941,1.82,5.366,8.855,95.07,-99.9
0.959,1.85,5.406,8.179,91.07,-99.9
0.974,1.58,5.449,8.487,92.07,-99.9
0.946,1.54,5.216,8.816,92.07,-99.9
1.027,1.66,5.511,8.081,92.07,-99.9
1.002,1.76,5.215,9.219,91.07,-99.9
1.014,1.66,5.146,8.917,91.07,-99.9
1.094,2.2,5.006,8.518,92.07,-99.9
1.106,1.68,4.817,9.26,82.07,-99.9
1.063,1.93,4.923,8.84,84.07,-99.9
1.056,1.87,4.883,7.898,85.07,-99.9
1.078,2.2,5.126,8.861,88.07,-99.9
1.091,2.27,5.044,8.947,86.07,-99.9
1.128,1.74,5.39,5.668,103.07,-99.9
1.13,1.97,5.284,5.826,88.07,-99.9
1.084,1.79,5.429,7.332,70.07,-99.9
1.147,1.93,5.345,7.873,85.07,-99.9
1.149,2,5.23,8.162,91.07,-99.9
1.165,1.85,5.535,8.198,79.07,-99.9
1.19,1.87,5.826,8.912,86.07,-99.9
1.061,1.83,5.807,6.973,68.07,-99.9
1.147,1.94,5.927,7.853,77.07,-99.9
1.099,1.61,6.062,7.577,94.07,-99.9
1.099,1.88,6.184,6.578,89.07,-99.9
1.019,1.75,6.175,7.215,68.07,-99.9
1.025,1.81,6.218,7.738,82.07,-99.9
0.996,1.57,6.23,5.955,85.07,-99.9
0.976,1.6,6.32,7.208,64.07,-99.9
0.993,1.54,6.148,6.337,77.07,-99.9
0.987,2.16,6.261,5.817,95.07,-99.9
0.951,1.68,6.084,8.148,68.07,-99.9
0.977,1.66,6.092,8.568,77.07,-99.9
1.007,1.59,6.084,5.829,68.07,-99.9
1.105,1.93,6.174,8.468,70.07,-99.9
0.973,1.79,6.114,8.379,84.07,-99.9
0.988,1.66,6.028,5.98,85.07,-99.9
1.005,1.54,6.259,8.7,79.07,-99.9
0.945,1.72,5.781,8.686,91.07,-99.9
1.015,1.52,6.722,8.248,89.07,-99.9
0.984,1.45,6.557,8.565,92.07,-99.9
1.041,1.55,6.82,8.434,89.07,-99.9
1.159,1.88,6.441,8.879,95.07,-99.9
1.006,1.74,6.441,8.307,94.07,-99.9
1.082,1.66,6.796,8.572,95.07,-99.9
1.001,1.6,6.615,8.378,82.07,-99.9
0.93,1.49,6.478,8.078,92.07,-99.9
0.963,1.56,6.511,7.564,85.07,-99.9
1.014,1.76,6.493,7.585,98.07,-99.9
0.942,1.41,6.775,8.433,82.07,-99.9
1.031,1.58,6.628,7.599,91.07,-99.9
0.917,1.36,6.325,8.226,89.07,-99.9
0.965,1.67,6.355,8.244,91.07,-99.9
0.933,1.54,6.311,7.616,89.07,-99.9
0.976,1.48,6.198,8.546,84.07,-99.9
0.94,1.56,6.105,8.825,91.07,-99.9
0.897,1.51,5.729,8.459,89.07,-99.9
1.031,1.66,5.844,7.273,92.07,-99.9
0.972,1.61,5.402,7.292,92.07,-99.9
0.919,1.57,5.054,8.206,89.07,-99.9
0.94,1.65,5.227,8.012,91.07,-99.9
0.961,1.65,5.337,8.308,91.07,-99.9
1.044,1.76,5.379,8.233,88.07,-99.9
1,1.92,5.317,8.196,85.07,-99.9
1.004,2.18,4.78,8.219,88.07,-99.9
1.142,2.23,5.008,8.748,86.07,-99.9
1.03,1.69,4.584,7.874,84.07,-99.9
1.02,1.95,4.714,8.162,84.07,-99.9
1.004,1.7,4.63,8.928,91.07,-99.9
1.061,1.61,4.935,7.561,86.07,-99.9
1.033,1.69,5.197,8.521,82.07,-99.9
0.98,1.71,4.891,8.721,85.07,-99.9
1.003,1.79,5.196,8.409,88.07,-99.9
0.998,1.81,5.331,8.846,89.07,-99.9
1.034,1.57,5.464,8.508,89.07,-99.9
1.004,1.88,5.284,8.518,88.07,-99.9
0.998,1.44,5.574,8.557,92.07,-99.9
1.059,2,5.575,8.802,81.07,-99.9
0.996,1.73,5.332,8.128,86.07,-99.9
0.98,1.5,5.455,9.306,91.07,-99.9
1.07,1.89,5.351,8.896,91.07,-99.9
1.088,1.87,5.624,8.554,88.07,-99.9
1.115,2.01,5.603,8.644,84.07,-99.9
1.009,1.93,5.235,7.943,84.07,-99.9
1.02,1.59,5.225,7.52,88.07,-99.9
1.007,1.57,5.277,8.84,78.07,-99.9
1.094,1.94,5.308,8.562,79.07,-99.9
1.124,1.77,5.725,8.893,82.07,-99.9
1.146,2.03,5.55,8.943,86.07,-99.9
1.197,2.01,5.833,9.4,82.07,-99.9
1.049,1.66,5.38,8.246,85.07,-99.9
1.137,1.66,5.719,8.891,78.07,-99.9
1.107,2.18,5.454,9.22,84.07,-99.9
1.155,1.83,5.883,8.79,81.07,-99.9
1.241,2.53,5.851,8.535,81.07,-99.9
1.184,2.15,5.712,8.594,77.07,-99.9
1.153,1.93,5.653,9.734,85.07,-99.9
1.144,1.82,5.73,8.546,84.07,-99.9
1.165,1.73,5.511,8.187,85.07,-99.9
1.208,2.09,5.257,8.787,89.07,-99.9
1.271,1.87,5.511,8.97,88.07,-99.9
1.382,2.27,5.671,9.386,84.07,-99.9
1.287,2.11,5.373,8.861,92.07,-99.9
1.348,2.37,5.436,8.706,84.07,-99.9
1.277,2.21,5.113,8.987,89.07,-99.9
1.285,2.23,5.476,9.599,89.07,-99.9
1.346,2.31,5.1,8.608,91.07,-99.9
1.374,2.3,5.277,8.558,82.07,-99.9
1.349,2.11,5.256,8.826,86.07,-99.9
1.284,1.97,5.107,8.983,82.07,-99.9
1.307,2.32,5.186,8.887,86.07,-99.9
1.349,2.23,5.132,9.798,89.07,-99.9
1.262,2.12,5.098,8.6,82.07,-99.9
1.213,2.3,4.959,6.173,92.07,-99.9
1.326,2.28,5.1,9.526,86.07,-99.9
1.165,1.94,4.784,9.284,84.07,-99.9
1.244,2.19,5.074,9.736,88.07,-99.9
1.227,1.98,5.08,8.943,72.07,-99.9
1.17,2.12,5.062,8.825,89.07,-99.9
1.145,1.86,5.127,8.506,86.07,-99.9
1.208,2.23,5.26,8.748,86.07,-99.9
1.111,1.76,5.11,9.711,89.07,-99.9
1.14,1.92,5.483,9.898,72.07,-99.9
1.267,1.79,6.154,9.625,85.07,-99.9
1.181,1.77,5.578,8.916,78.07,-99.9
1.146,2.06,5.653,8.38,88.07,-99.9
1.171,1.97,5.822,9.719,84.07,-99.9
1.129,1.86,5.92,9.338,77.07,-99.9
1.146,1.81,5.939,9.043,85.07,-99.9
1.107,2.08,5.584,9.245,94.07,-99.9
1.108,1.91,6.044,9.345,86.07,-99.9
1.213,2.16,5.92,10.107,91.07,-99.9
1.102,2.37,5.847,8.891,86.07,-99.9
1.102,1.89,6.036,10.153,91.07,-99.9
1.039,1.84,5.826,8.939,89.07,-99.9
1.005,1.66,5.874,9.092,88.07,-99.9
1.099,2.06,6.012,9.759,86.07,-99.9
1.059,1.73,6.094,8.538,85.07,-99.9
1.099,1.97,6.119,10.284,91.07,-99.9
0.941,1.69,5.951,9.717,86.07,-99.9
1.023,1.64,6.042,8.196,94.07,-99.9
0.991,1.63,6.067,9.312,91.07,-99.9
1.044,1.64,6.503,9.345,91.07,-99.9
1.077,1.95,6.793,10.336,91.07,-99.9
0.997,1.66,6.252,9.92,84.07,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1.037,1.77,5.114,8.136,88.07,-99.9
1.052,1.62,4.811,8.876,82.07,-99.9
1.071,2.03,4.59,9.807,82.07,-99.9
1.09,1.82,4.674,9.153,82.07,-99.9
1.109,1.81,4.663,9.371,92.07,-99.9
1.114,1.91,4.559,5.491,84.07,-99.9
1.069,1.8,4.56,10.017,84.07,-99.9
1.059,2.08,4.561,9.234,91.07,-99.9
1.163,1.99,4.671,9.815,94.07,-99.9
1.073,1.84,4.548,9.762,91.07,-99.9
1.117,1.96,4.756,10.059,82.07,-99.9
1.03,1.72,4.389,5.358,91.07,-99.9
1.003,1.61,4.445,5.328,82.07,-99.9
1.006,1.73,4.507,9.747,91.07,-99.9
1.028,1.87,4.8,9.751,94.07,-99.9
0.987,1.64,4.842,9.269,84.07,-99.9
1.087,2.01,5.289,9.844,94.07,-99.9
1.066,2.02,5.069,9.362,91.07,-99.9
1.041,1.66,4.936,9.403,86.07,-99.9
1.046,1.76,5.304,9.008,89.07,-99.9
1.033,1.76,5.008,9.784,91.07,-99.9
1.099,1.8,5.15,9.673,88.07,-99.9
1.094,1.86,5.113,9.291,89.07,-99.9
1.196,2.11,5.251,9.697,95.07,-99.9
1.21,2.09,5.323,9.251,96.07,-99.9
1.175,1.94,5.025,9.274,96.07,-99.9
1.198,2.07,4.948,5.335,94.07,-99.9
1.234,2.01,5.085,5.335,102.07,-99.9
1.358,2.33,5.273,8.977,95.07,-99.9
1.242,2.07,5.039,9.792,94.07,-99.9
1.335,2.96,5.058,5.839,108.07,-99.9
1.337,2.38,5.026,5.71,102.07,-99.9
1.27,2.16,5.134,8.75,94.07,-99.9
1.274,2.52,5.06,9.252,92.07,-99.9
1.362,2.06,5.168,5.97,98.07,-99.9
1.288,2.13,4.945,5.909,94.07,-99.9
1.277,1.91,5.199,5.789,92.07,-99.9
1.231,1.98,5.151,6.534,103.07,-99.9
1.22,2.48,5.126,6.763,105.07,-99.9
1.169,2.06,5.198,6.367,94.07,-99.9
1.133,2.21,5.267,9.288,92.07,-99.9
1.241,2.02,5.687,6.351,101.07,-99.9
1.252,2.38,5.225,9.235,96.07,-99.9
1.251,2.06,5.28,9.282,102.07,-99.9
1.174,2.24,5.052,9.78,91.07,-99.9
1.183,1.91,4.799,9.389,103.07,-99.9
1.184,1.85,4.693,7.111,95.07,-99.9
1.231,2.09,4.837,7.91,81.07,-99.9
1.185,1.76,4.983,17.338,101.07,-99.9
1.238,2.31,5.191,8.927,95.07,-99.9
1.304,1.98,4.863,6.364,94.07,-99.9
1.33,2.67,4.673,5.974,96.07,-99.9
1.514,2.66,4.794,6.107,105.07,-99.9
1.699,3.94,5.079,5.225,99.07,-99.9
1.813,3.02,5.057,6.348,117.07,-99.9
1.708,2.87,5.249,7.545,113.07,-99.9
1.855,3.49,5.383,8.494,112.07,-99.9
1.951,3.37,5.267,7.909,109.07,-99.9
2.017,3.22,5.604,6.334,116.07,-99.9
2.024,3.28,5.376,8.215,123.07,-99.9
2.184,3.51,5.394,8.908,113.07,-99.9
2.131,3.48,5.365,8.061,123.07,-99.9
2.117,3.36,5.564,8.172,122.07,-99.9
2.095,3.55,5.433,8.436,119.07,-99.9
2.215,3.95,5.682,8.529,117.07,-99.9
2.105,3.28,5.642,8.148,112.07,-99.9
1.991,3.35,5.883,9.719,108.07,-99.9
2.045,3.13,5.772,8.465,113.07,-99.9
2.058,3.19,6.033,8.605,108.07,-99.9
1.932,2.8,5.918,8.55,112.07,-99.9
1.872,2.64,6.004,8.4,113.07,-99.9
1.811,2.91,5.885,8.473,101.07,-99.9
1.816,3.4,5.909,7.733,108.07,-99.9
1.805,2.88,5.766,8.498,98.07,-99.9
1.769,3.08,5.653,9.257,103.07,-99.9
1.855,2.96,5.942,9.747,94.07,-99.9
1.827,3.15,5.806,9.634,98.07,-99.9
1.727,3.15,5.92,7.906,98.07,-99.9
1.798,2.85,5.91,8.426,99.07,-99.9
1.78,2.66,6.181,9.682,99.07,-99.9
1.962,3.33,6.044,8.107,88.07,-99.9
1.729,3.03,5.935,8.415,91.07,-99.9
1.84,2.96,5.827,8.225,99.07,-99.9
1.816,3.38,5.758,8.586,95.07,-99.9
1.748,2.55,5.974,8.549,91.07,-99.9
1.736,3.13,5.823,8.201,96.07,-99.9
1.724,2.78,5.96,7.386,101.07,-99.9
1.697,2.8,5.946,8.231,98.07,-99.9
1.718,2.77,6.025,8.227,103.07,-99.9
1.75,2.94,6.113,8.966,92.07,-99.9
1.774,2.73,5.896,9.226,98.07,-99.9
1.657,3.47,5.792,8.425,101.07,-99.9
1.759,2.63,6.039,8.242,101.07,-99.9
1.71,3.12,6.298,8.599,101.07,-99.9
1.782,2.79,6.156,8.619,94.07,-99.9
1.561,2.68,5.944,9.101,92.07,-99.9
1.622,2.81,6.022,8.608,94.07,-99.9
1.665,2.8,5.796,8.391,96.07,-99.9
1.605,2.58,5.877,8.974,109.07,-99.9
1.677,2.88,6.092,8.841,99.07,-99.9
1.59,2.7,6.11,7.949,89.07,-99.9
1.533,2.62,6.041,8.808,95.07,-99.9
1.627,2.49,5.749,7.818,92.07,-99.9
1.715,3.12,6.159,9.32,94.07,-99.9
1.674,2.54,6.156,8.713,91.07,-99.9
1.579,2.95,5.595,8.901,94.07,-99.9
1.623,2.49,5.47,9.804,94.07,-99.9
1.637,2.59,5.622,8.525,99.07,-99.9
1.565,2.59,5.461,9.427,91.07,-99.9
1.595,2.84,5.505,8.186,92.07,-99.9
1.632,3.08,5.771,8.451,96.07,-99.9
1.612,3.16,5.663,7.539,95.07,-99.9
1.498,2.32,5.851,7.816,95.07,-99.9
1.582,2.31,5.46,8.92,98.07,-99.9
1.631,2.81,5.833,7.848,85.07,-99.9
1.567,2.33,6.045,8.942,99.07,-99.9
1.5,3.01,5.6,8.917,91.07,-99.9
1.387,2.04,5.692,8.48,94.07,-99.9
1.461,2.73,5.896,7.827,99.07,-99.9
1.385,2.52,5.599,9.304,95.07,-99.9
1.402,2.39,5.865,9.172,92.07,-99.9
1.256,2.02,5.705,6.602,88.07,-99.9
1.326,2.21,5.734,7.836,94.07,-99.9
1.327,2.38,5.714,9.028,88.07,-99.9
1.28,2.47,5.705,8.577,91.07,-99.9
1.31,2.06,6.087,7.892,91.07,-99.9
1.248,2.22,5.738,8.174,91.07,-99.9
1.309,2.04,5.924,8.798,92.07,-99.9
1.354,2.42,5.605,8.485,96.07,-99.9
1.255,2.41,5.808,8.894,91.07,-99.9
1.268,2.19,5.642,8.873,94.07,-99.9
1.289,1.99,5.875,8.658,92.07,-99.9
1.204,2.05,5.455,8.167,92.07,-99.9
1.297,2.25,5.715,8.793,96.07,-99.9
1.218,2.08,5.518,7.547,92.07,-99.9
1.246,2.17,5.491,7.812,91.07,-99.9
1.251,1.72,5.528,8.477,101.07,-99.9
1.227,1.81,5.314,8.655,89.07,-99.9
1.222,1.8,5.52,8.179,86.07,-99.9
1.261,2.14,5.637,8.19,94.07,-99.9
1.22,2.05,5.544,8.254,96.07,-99.9
1.175,2.1,5.492,7.296,91.07,-99.9
1.308,2.31,5.591,7.907,95.07,-99.9
1.162,2.18,5.538,7.498,98.07,-99.9
1.215,2.13,5.395,9.324,81.07,-99.9
1.207,1.84,5.453,9.258,101.07,-99.9
1.193,2.23,5.341,8.222,85.07,-99.9
1.215,1.92,5.288,8.444,99.07,-99.9
1.207,1.93,5.167,9.382,92.07,-99.9
1.209,2.13,5.341,7.038,95.07,-99.9
1.189,1.85,5.242,8.271,88.07,-99.9
1.186,1.8,5.299,7.887,86.07,-99.9
1.297,2.47,5.432,8.601,92.07,-99.9
1.295,2.33,5.602,8.534,91.07,-99.9
1.215,2.12,5.293,8.895,86.07,-99.9
1.217,1.91,5.328,8.537,98.07,-99.9
1.186,2.02,5.563,8.263,89.07,-99.9
1.216,2.06,5.526,7.321,95.07,-99.9
1.161,1.85,5.481,9.634,89.07,-99.9
1.201,1.89,5.375,8.183,94.07,-99.9
1.179,1.78,5.542,10.103,88.07,-99.9
1.207,2.1,5.796,9.451,91.07,-99.9
1.2,1.93,5.866,8.288,96.07,-99.9
1.161,2.12,5.571,8.896,95.07,-99.9
1.24,1.93,5.618,8.926,92.07,-99.9
1.25,1.93,5.842,8.53,102.07,-99.9
1.27,2.46,5.693,8.278,98.07,-99.9
1.15,1.93,5.753,8.163,101.07,-99.9
1.235,2.13,6.243,8.716,99.07,-99.9
1.18,2.34,5.698,8.451,85.07,-99.9
1.185,1.9,6.35,9.131,94.07,-99.9
1.159,2.07,6.098,8.357,102.07,-99.9
1.074,1.89,5.828,8.963,99.07,-99.9
1.113,1.88,5.888,10.206,99.07,-99.9
1.102,1.81,6.266,8.954,96.07,-99.9
1.097,1.88,6.196,9.305,109.07,-99.9
1.106,1.76,6.435,9.013,91.07,-99.9
