Hs,Hmax,Tz,Tp,Peak Direction,SST
0.698,1.16,4.345,12.912,113.08,24.6
0.679,1.11,4.303,12.228,120.08,24.6
0.751,1.19,4.549,12.302,120.08,24.6
0.695,1.15,4.401,12.189,116.08,24.6
0.678,1.14,4.173,10.951,124.08,24.6
0.69,1.21,4.033,12.035,122.08,24.6
0.659,1.25,4.172,12.841,122.08,24.6
0.659,1.19,4.25,3.493,115.08,24.6
0.63,0.98,4.127,15.967,113.08,24.6
0.615,1.08,4.164,15.062,105.08,24.6
0.633,1.1,4.505,15.122,106.08,24.65
0.621,1,4.51,14.795,105.08,24.65
0.63,1.04,4.472,13.226,102.08,24.65
0.646,0.99,4.489,13.658,101.08,24.7
0.598,1.12,4.256,14.606,103.08,24.7
0.623,0.93,4.618,13.697,108.08,24.65
0.634,0.96,4.525,13.003,105.08,24.65
0.659,0.99,4.528,11.53,110.08,24.7
0.66,1.04,4.691,6.33,106.08,24.75
0.657,1.1,4.746,13.027,85.08,24.7
0.624,1.14,4.695,12.19,108.08,24.65
0.639,0.95,4.77,12.08,115.08,24.7
0.621,1,4.676,6.556,113.08,24.65
0.575,1.01,4.665,6.576,112.08,24.6
0.627,1.08,4.842,10.907,110.08,24.6
0.601,1.02,4.814,12.017,115.08,24.6
0.562,0.98,5.082,11.554,109.08,24.6
0.614,1.04,5.115,10.687,113.08,24.65
0.604,1.03,4.969,11.214,112.08,24.65
0.56,0.82,5.209,10.827,120.08,24.65
0.56,0.95,5.209,10.277,105.08,24.7
0.588,0.96,5.291,13.863,108.08,24.75
0.515,0.84,4.982,13.096,105.08,24.75
0.614,0.97,5.734,10.903,119.08,24.85
0.554,0.9,5.827,13.682,115.08,25
0.564,0.89,5.953,12.111,115.08,25.15
0.593,1.1,5.761,12.686,110.08,25.25
0.555,1.02,5.948,11.418,113.08,25.35
0.578,0.93,6.004,12.945,105.08,25.4
0.553,0.88,5.775,11.307,116.08,25.5
0.562,0.89,5.295,12.44,112.08,25.45
0.579,0.92,5.2,11.735,123.08,25.5
0.62,1.02,5.178,10.851,120.08,25.5
0.591,0.95,4.656,12.284,117.08,25.45
0.649,1.29,4.562,9.857,112.08,25.45
0.608,0.9,4.363,10.367,120.08,25.45
0.638,1.08,4.35,12.208,117.08,25.45
0.643,1.05,4.246,5.792,112.08,25.45
0.653,1.06,4.191,6.549,105.08,25.5
0.638,1.16,4.036,12.254,109.08,25.5
0.694,1.25,4.24,11.907,116.08,25.55
0.699,1.09,4.471,5.791,116.08,25.55
0.649,1.07,4.415,12.149,112.08,25.6
0.66,1.16,4.467,10.51,108.08,25.55
0.658,1.18,4.711,11.528,112.08,25.55
0.66,1,4.674,12.107,116.08,25.55
0.631,0.99,4.862,11.631,112.08,25.5
0.622,1.05,4.763,10.26,115.08,25.5
0.648,1.14,4.915,6.183,89.08,25.5
0.621,0.98,4.945,10.906,119.08,25.5
0.659,1.09,4.831,11.593,109.08,25.5
0.621,1.08,4.674,11.498,117.08,25.5
0.601,1.02,4.515,6.29,117.08,25.5
0.622,1.08,4.615,11.398,120.08,25.5
0.646,1.03,4.649,10.969,110.08,25.5
0.623,1.03,4.677,11.589,123.08,25.5
0.615,1.13,4.811,11.03,115.08,25.45
0.612,1.14,4.657,11.359,115.08,25.45
0.602,0.96,4.68,11.098,110.08,25.35
0.583,1.09,4.755,11.448,122.08,25.4
0.575,0.94,5.055,10.831,109.08,25.4
0.582,0.92,5.256,10.894,120.08,25.4
0.552,0.92,5.11,10.833,112.08,25.45
0.519,0.85,4.789,11.232,106.08,25.4
0.515,0.84,4.898,10.953,110.08,25.35
0.535,0.88,5.026,9.684,116.08,25.35
0.57,1.06,5.114,10.784,112.08,25.35
0.548,0.8,5.422,9.989,113.08,25.35
0.527,0.8,5.394,10.13,108.08,25.35
0.538,0.87,5.186,10.294,109.08,25.35
0.561,0.96,5.564,10.218,113.08,25.3
0.534,0.84,5.413,9.858,109.08,25.25
0.525,1.16,4.853,5.976,96.08,25.3
0.546,0.88,5.118,6.323,102.08,25.4
0.555,1.04,4.733,6.156,92.08,25.45
0.548,0.96,4.651,10.184,105.08,25.4
0.598,0.94,4.656,10.646,101.08,25.45
0.595,0.99,4.443,6.033,99.08,25.25
0.626,1.04,4.173,10.294,102.08,25.1
0.584,1.06,3.806,3.474,116.08,25
0.64,1.08,3.881,10.731,103.08,24.95
0.635,0.98,4.013,9.634,99.08,25
0.605,1.03,3.756,3.752,56.08,25.05
0.598,0.99,3.881,9.287,77.08,25.1
0.587,0.98,3.927,5.775,101.08,25.15
0.576,1.02,3.776,6.188,79.08,25.35
0.602,1.07,3.832,10.658,91.08,25.35
0.611,1.08,3.793,6.19,105.08,25.3
0.64,1.16,3.986,5.581,77.08,25.3
0.628,0.98,3.988,6.055,99.08,25.15
0.63,0.91,3.98,5.568,86.08,25.1
0.666,1.11,3.787,6.159,63.08,25
0.648,1.05,3.862,6.354,82.08,25.1
0.656,1.15,3.821,6.088,82.08,25.05
0.663,1.05,3.931,5.671,77.08,24.9
0.647,1.03,3.959,5.355,79.08,24.85
0.629,0.94,4.038,5.996,82.08,24.8
0.604,0.95,4.144,5.859,96.08,24.8
0.602,1.12,4.153,6.21,82.08,24.8
0.63,1.25,4.142,5.973,84.08,24.85
0.612,1.07,4.187,5.938,82.08,24.75
0.612,1.07,4.259,5.075,81.08,24.7
0.613,1.15,4.378,5.495,78.08,24.7
0.61,0.94,4.378,6.169,70.08,24.7
0.599,1.08,4.323,5.902,74.08,24.9
0.573,0.93,4.174,6.338,74.08,24.9
0.606,1.19,4.179,5.2,71.08,24.85
0.623,1.01,3.959,4.111,78.08,24.7
0.617,1.21,4.033,3.809,88.08,24.55
0.631,1.06,4.122,6.329,71.08,24.55
0.598,0.96,4.26,4.302,70.08,24.55
0.61,0.99,4.117,6.12,65.08,24.55
0.631,1.04,4.413,5.886,70.08,24.55
0.627,0.99,4.363,5.86,67.08,24.55
0.654,1.18,4.281,6.18,68.08,24.5
0.669,1.23,4.107,3.883,71.08,24.4
0.644,1.12,4.064,6.125,67.08,24.3
0.634,1.08,4.167,5.996,70.08,24.25
0.642,1.03,4.237,5.891,64.08,24.15
0.644,1.1,4.134,5.984,60.08,24.15
0.672,1.17,4.204,6.16,64.08,24.3
